eventId	personId	total	personName	"GROUP_CONCAT(CONCAT(score,' (',competitionId,')') SEPARATOR ' + ')"
666	2010KADD01	8	"Abdelhak Kaddour"	"8 (LyonOpen2011)"
666	2010OLIV01	8	"Auguste Olivry"	"1 (LyonOpen2011) + 4 (MontpellierOpen2011) + 3 (FrenchOpen2011)"
666	2008VIRO01	7	"Philippe Virouleau"	"7 (MontpellierOpen2011)"
666	2009SHEP01	7	"Daniel Sheppard"	"7 (FrenchOpen2011)"
666	2008AURO01	6	"Sébastien Auroux"	"6 (FrenchOpen2011)"
666	2008BAOY01	6	"Ting Sheng Bao Yang"	"6 (MontpellierOpen2011)"
666	2010BOUV01	6	"Pierre Bouvier"	"4 (LyonOpen2011) + 2 (MontpellierOpen2011)"
666	2009FACI01	5	"Radu Faciu"	"5 (LyonOpen2011)"
666	2009BRUS01	4	"Berit Brüster"	"4 (FrenchOpen2011)"
666	2008CURU01	3	"Antton Curutchet"	"3 (LyonOpen2011)"
666	2009VERM01	2	"Olivier Vermersch"	"2 (FrenchOpen2011)"
666	2011TROM01	2	"Axel Trombert"	"2 (LyonOpen2011)"
666	2009GARC04	1	"Pau Vela García"	"1 (MontpellierOpen2011)"
777	2008COUR01	16	"François Courtès"	"5 (MontpellierOpen2011) + 6 (FrenchOpen2011) + 5 (LyonOpen2011)"
777	2008BARA01	10	"Bence Barát"	"10 (LyonOpen2011)"
777	2007POLI01	9	"Lorenzo Vigani Poli"	"9 (MontpellierOpen2011)"
777	2008CABA03	9	"Jakub Cabaj"	"9 (LyonOpen2011)"
777	2009YAUR01	9	"Robert Yau"	"9 (FrenchOpen2011)"
777	2008VIRO01	8	"Philippe Virouleau"	"8 (MontpellierOpen2011)"
777	2009SHEP01	8	"Daniel Sheppard"	"8 (FrenchOpen2011)"
777	2010KADD01	8	"Abdelhak Kaddour"	"8 (LyonOpen2011)"
777	2008AURO01	7	"Sébastien Auroux"	"7 (FrenchOpen2011)"
777	2009MORI05	7	"Paolo Moriello"	"7 (MontpellierOpen2011)"
777	2010OLIV01	7	"Auguste Olivry"	"7 (LyonOpen2011)"
777	2008BAOY01	6	"Ting Sheng Bao Yang"	"6 (MontpellierOpen2011)"
777	2008CURU01	6	"Antton Curutchet"	"6 (LyonOpen2011)"
777	2007DUSS01	5	"Gaël Dusser"	"5 (FrenchOpen2011)"
777	2010BOUV01	5	"Pierre Bouvier"	"4 (LyonOpen2011) + 1 (MontpellierOpen2011)"
777	2004GALL02	4	"Clément Gallet"	"4 (MontpellierOpen2011)"
777	2010ESTU01	4	"Rémi Esturoune"	"4 (FrenchOpen2011)"
777	2009MARC01	3	"Alban Marchal"	"3 (LyonOpen2011)"
777	2009PETI01	3	"Loïc Petit"	"3 (MontpellierOpen2011)"
777	2010FOUL01	3	"Lucas Foulon-Mongaï"	"3 (FrenchOpen2011)"
777	2009BRUS01	2	"Berit Brüster"	"2 (FrenchOpen2011)"
777	2009GARC04	2	"Pau Vela García"	"2 (MontpellierOpen2011)"
777	2010PARR01	2	"David Parra Meza"	"1 (MontpellierOpen2011) + 1 (LyonOpen2011)"
777	2011TROM01	2	"Axel Trombert"	"2 (LyonOpen2011)"
777	2009FACI01	1	"Radu Faciu"	"1 (LyonOpen2011)"
777	2009VERM01	1	"Olivier Vermersch"	"1 (FrenchOpen2011)"
777	2011DUBO01	1	"Rémi Duboué-Dijon"	"1 (LyonOpen2011)"
clock	2004GALL02	73	"Clément Gallet"	"9 (VesoulOpen2011) + 10 (GaleriesLafayetteOpen2011) + 12 (BreizhOpen2011) + 10 (BlindOpen2011) + 11 (LyonOpen2011) + 10 (MontpellierOpen2011) + 11 (CachanOpen2011)"
clock	2007DUSS01	60	"Gaël Dusser"	"12 (BlindOpen2011) + 12 (FrenchOpen2011) + 15 (BreizhOpen2011) + 8 (DinsOpen2011) + 13 (MontpellierOpen2011)"
clock	2008COUR01	43	"François Courtès"	"5 (NeptuneOpen2011) + 6 (FrenchOpen2011) + 4 (MontpellierOpen2011) + 6 (LyonOpen2011) + 10 (BreizhOpen2011) + 6 (BlindOpen2011) + 6 (VesoulOpen2011)"
clock	2010BOUV01	39	"Pierre Bouvier"	"7 (VesoulOpen2011) + 6 (NeptuneOpen2011) + 14 (LyonOpen2011) + 1 (MontpellierOpen2011) + 11 (GaleriesLafayetteOpen2011)"
clock	2008VIRO01	37	"Philippe Virouleau"	"10 (NeptuneOpen2011) + 10 (LyonOpen2011) + 9 (MontpellierOpen2011) + 8 (BlindOpen2011)"
clock	2010DESJ01	33	"Jules Desjardin"	"9 (BlindOpen2011) + 8 (LyonOpen2011) + 8 (NeptuneOpen2011) + 8 (FrenchOpen2011)"
clock	2008MORE02	31	"Hippolyte Moreau"	"14 (BreizhOpen2011) + 11 (BlindOpen2011) + 6 (DinsOpen2011)"
clock	2009LEFE01	30	"Quentin Lefebvre"	"11 (NeptuneOpen2011) + 10 (CachanOpen2011) + 9 (GaleriesLafayetteOpen2011)"
clock	2008HANK01	29	"Kanneti Sae Han (คันธ์เนตี แซ่ห่าน)"	"9 (FrenchOpen2011) + 8 (BreizhOpen2011) + 3 (DinsOpen2011) + 9 (NeptuneOpen2011)"
clock	2004MASA01	25	"Jesús Masanet García"	"13 (LyonOpen2011) + 12 (MontpellierOpen2011)"
clock	2007LEMO01	25	"Laetitia Lemoine"	"8 (GaleriesLafayetteOpen2011) + 7 (NeptuneOpen2011) + 5 (LyonOpen2011) + 5 (VesoulOpen2011)"
clock	2007PERD01	20	"Antoine Perdereau"	"13 (BreizhOpen2011) + 7 (DinsOpen2011)"
clock	2009DOUS03	18	"Valentin Doussin"	"7 (BreizhOpen2011) + 7 (BlindOpen2011) + 4 (DinsOpen2011)"
clock	2010ESTU01	17	"Rémi Esturoune"	"1 (FrenchOpen2011) + 9 (CachanOpen2011) + 7 (LyonOpen2011)"
clock	2010KOHL02	17	"Erwan Kohler"	"9 (BreizhOpen2011) + 8 (VesoulOpen2011)"
clock	2010DELN01	16	"Grégoire Delnott"	"11 (BreizhOpen2011) + 5 (FrenchOpen2011)"
clock	2008BAOY01	14	"Ting Sheng Bao Yang"	"14 (MontpellierOpen2011)"
clock	2005STUD01	12	"Rafał Studnicki"	"12 (LyonOpen2011)"
clock	2008SECH01	12	"Amaury Sechet"	"6 (GaleriesLafayetteOpen2011) + 3 (BlindOpen2011) + 3 (CachanOpen2011)"
